p_size	epochs	elite	elite	time	prec
50	100	5	2	0,33	0,90
50	100	10	5	0,11	1,00
50	100	15	7	0,07	0,97
50	100	20	10	0,07	1,00
50	100	25	12	0,07	0,93
50	200	5	2	0,30	1,00
50	200	10	5	0,20	1,00
50	200	15	7	0,11	1,00
50	200	20	10	0,27	1,00
50	200	25	12	0,19	0,93
50	300	5	2	0,44	1,00
50	300	10	5	0,18	0,73
50	300	15	7	0,50	1,00
50	300	20	10	0,36	1,00
50	300	25	12	0,28	1,00
50	400	5	2	0,47	0,97
50	400	10	5	0,32	1,00
50	400	15	7	0,40	0,87
50	400	20	10	0,55	1,00
50	400	25	12	0,40	1,00
100	100	5	5	0,20	1,00
100	100	10	10	0,36	1,00
100	100	15	15	0,10	1,00
100	100	20	20	0,19	0,90
100	100	25	25	0,29	1,00
100	200	5	5	0,47	1,00
100	200	10	10	0,40	1,00
100	200	15	15	0,42	1,00
100	200	20	20	0,49	1,00
100	200	25	25	0,26	1,00
100	300	5	5	0,82	0,90
100	300	10	10	0,61	1,00
100	300	15	15	0,59	1,00
100	300	20	20	0,59	1,00
100	300	25	25	0,67	1,00
100	400	5	5	0,71	1,00
100	400	10	10	0,84	1,00
100	400	15	15	0,75	1,00
100	400	20	20	0,96	0,97
100	400	25	25	1,16	0,97
150	100	5	7	0,38	1,00
150	100	10	15	0,43	1,00
150	100	15	22	0,42	1,00
150	100	20	30	0,29	1,00
150	100	25	37	0,26	1,00
150	200	5	7	0,65	1,00
150	200	10	15	0,79	1,00
150	200	15	22	0,67	1,00
150	200	20	30	0,50	1,00
150	200	25	37	0,65	1,00
150	300	5	7	1,28	1,00
150	300	10	15	0,75	1,00
150	300	15	22	1,01	1,00
150	300	20	30	1,07	1,00
150	300	25	37	0,70	1,00
150	400	5	7	1,18	1,00
150	400	10	15	0,96	1,00
150	400	15	22	0,88	1,00
150	400	20	30	1,34	1,00
150	400	25	37	1,52	1,00
